1,0,0,1
2,1,162,1
3,1,161,1
5,1,158,2
6,1,157,2
7,2,441,2
8,2,440,2
10,3,566,3
11,3,565,3
12,3,563,3
13,3,562,3
15,3,561,4
17,4,597,5
18,5,770,5
19,6,825,5
20,6,824,5
21,7,920,5
23,7,919,6
24,7,918,6
25,7,916,6
26,7,915,6
28,8,1036,7
29,9,1113,7
30,9,1112,7
31,9,1111,7
32,9,1108,7
33,9,1107,7
34,10,1234,7
36,10,1233,8
37,11,1352,8
38,11,1351,8
39,11,1350,8
40,11,1349,8
41,12,1506,8
42,12,1505,8
44,12,1502,9
46,13,1558,10
47,14,1556,10
48,14,1555,10
49,14,1554,10
50,14,1553,10
52,14,1552,11
54,15,1687,12
55,15,1686,12
56,16,1899,12
57,16,1898,12
58,16,1896,12
59,16,1895,12
60,17,2011,12
62,17,2010,13
64,18,2009,14
65,19,2056,14
66,19,2055,14
67,19,2054,14
68,19,2053,14
70,19,2052,15
71,20,2064,15
73,20,2062,16
74,20,2061,16
76,20,2060,17
77,20,2057,17
78,21,2100,17
79,21,2099,17
80,22,2167,17
82,22,2166,18
84,22,2164,19
85,22,2163,19
86,22,2162,19
87,22,2161,19
88,23,2193,19
89,23,2192,19
90,23,2191,19
91,24,2251,19
92,25,2315,19
94,25,2314,20
95,25,2313,20
97,25,2312,21
98,25,2311,21
99,26,2376,21
